h(cm),_r ,f(Mhz),W-target(cm) ,L-target(cm) 
0.3175,2.33,2310,5.7,3.8
0.3175,2.33,2890,4.55,3.05
0.3175,2.33,4240,2.95,1.95
0.3175,2.33,5840,1.95,1.3
0.3175,2.33,6800,1.7,1.1
0.3175,2.33,7700,1.4,0.9
0.3175,2.33,8270,1.2,0.8
0.3175,2.33,9140,1.05,0.7
0.9525,2.33,4730,1.7,1.1
0.1524,2.33,7870,1.7,1.1
0.1524,2.5,2228,4.1,4.14
0.1524,2.5,2200,6.858,4.14
0.1524,2.5,2181,10.8,4.14
0.017,2.22,7740,0.85,1.29
0.017,2.22,8450,0.79,1.185
0.079,2.22,3970,2,2.5
0.079,2.55,7730,1.063,1.183
0.127,10.2,4600,0.91,1
0.157,2.33,5060,1.72,1.86
0.157,2.33,4805,1.81,1.96
0.163,2.55,6560,1.27,1.35
0.163,2.55,5600,1.5,1.621
0.2,2.55,6200,1.337,1.412
0.242,2.55,7050,1.12,1.2
0.252,2.55,5800,1.403,1.485
0.3,2.5,5270,1.53,1.63
0.3,2.5,7990,0.905,1.018
0.3,2.5,6570,1.17,1.28
0.476,2.55,5100,1.375,1.58
0.33,2.55,8000,0.776,1.08
0.4,2.55,7134,0.79,1.255
0.45,2.55,6070,0.987,1.45
0.476,2.55,5820,1,1.52
0.476,2.55,6380,0.814,1.44
0.55,2.55,5990,0.79,1.62
0.626,2.55,4660,1.2,1.97
0.854,2.55,4600,0.783,2.3
0.952,2.55,3580,1.256,2.756
0.952,2.55,3980,0.974,2.62
0.952,2.55,3900,1.02,2.64
1,2.55,3980,0.883,2.676
1.1,2.55,3900,0.777,2.835
1.2,2.55,3470,0.92,3.13
1.281,2.55,3200,1.03,3.38
1.281,2.55,2980,1.265,3.5
1.281,2.55,3150,1.08,3.4