h(cm),εr ,fr (GHz) ,W-target(cm) ,L-target(cm) ,L-RBF(cm) ,W-RBF(cm) 
0.3175,2.33,2.31,5.70E+00,3.80E+00,3.80E+00,5.70E+00
0.3175,2.33,2.89,4.55E+00,3.05E+00,3.05E+00,4.55E+00
0.3175,2.33,4.24,2.95E+00,1.95E+00,1.95E+00,2.95E+00
0.3175,2.33,5.84,1.95E+00,1.30E+00,1.30E+00,1.95E+00
0.3175,2.33,6.8,1.70E+00,1.10E+00,1.10E+00,1.69E+00
0.3175,2.33,7.7,1.40E+00,9.00E-01,9.08E-01,1.39E+00
0.3175,2.33,8.27,1.20E+00,8.00E-01,7.90E-01,1.20E+00
0.3175,2.33,9.14,1.05E+00,7.00E-01,7.02E-01,1.04E+00
0.9525,2.33,4.73,1.70E+00,1.10E+00,1.10E+00,1.70E+00
0.4,2.55,7.134,7.90E-01,1.26E+00,1.26E+00,7.91E-01
0.45,2.55,6.07,9.87E-01,1.45E+00,1.46E+00,9.81E-01
0.476,2.55,5.82,1.00E+00,1.52E+00,1.51E+00,1.01E+00
0.476,2.55,6.38,8.14E-01,1.44E+00,1.44E+00,8.17E-01
0.55,2.55,5.99,7.90E-01,1.62E+00,1.62E+00,7.83E-01
0.157,2.33,5.06,1.72E+00,1.86E+00,1.86E+00,1.72E+00